IIP ID,Summary,Text Genre,City Name,Language,Terminus ante quem,Terminus post quem,Object Type,Region,Likely religion,City Name,Description of Place Found,Material,Original text,Translation,Description
beth0232,"Galilee. Beth Shearim, 200 CE to 400 CE. Slab. Funerary.",funerary,Beth Shearim,Greek,200,400,slab,Galilee,jewish,Beth Shearim,"Beth Shearim, Galilee. ",,,            This is Rabbi                Aniana 's (tomb). Of Rabbi                Anianos  the Little  (lit: the dwarf)         ,
beth0277,Galilee. Beth Shearim. 200 CE to 400 CE. Wall. Funerary.,funerary,Beth Shearim,Hebrew,200,400,wall,Galilee,unknown_religion,Beth Shearim,"Beth Shearim, Galilee. ",,,,"            Only two letters of this inscription are clear. Thin lines, seven or eight letters, last a tet and middle a yod.         "
beth0278,Galilee. Beth Shearim. 200 CE to 400 CE. Red painted wall of arcosolium. Funerary.,funerary,Beth Shearim,Hebrew,200,400,wall,Galilee,unknown_religion,Beth Shearim,"Beth Shearim, Galilee. ",,,,            The letters of this inscription have no real meaning.         
bire0002,"Golan. El-Bireh, Early Byzantine period. Lintel. Unknown.",text_unknown,El-Bireh,Greek,338,500,lintel,Golan,christian,El-Bireh,"El-Bireh, Golan. Dwelling.<br/>El-Bireh. Lintel found in a dwelling. ",,,,"            Inscription on a lintel. The surface of the stone is badly pocked and worn, making the two-line Greek inscription illegible. Only the incised cross on the right side of the lintel is clear. There are no traces of an ancient site at el-Bireh, so it is likely that this stone was moved from an early Byzantine site nearby.         "
bire0001,"Golan. El-Bireh, Early Byzantine period. Door-post Stone. Unknown.",text_unknown,El-Bireh,Greek,338,500,lintel,Golan,christian,El-Bireh,"El-Bireh, Golan. Dwelling.<br/>El-Bireh. Door-post stone found in a dwelling. ",,,,"            Incised cross on door-post stone. There are no traces of an ancient site at el-Bireh, so it is likely that this stone was moved from an early Byzantine site nearby.         "
bshe0031,"Scythopolis-Beth Shean, 6th c. CE. Label. Glass Coin-Weight.",label,Scythopolis-Beth Shean,Greek,500,600,other_object,Jordan Valley,christian,Scythopolis-Beth Shean,"Scythopolis-Beth Shean, Jordan Valley. The Terrace (Debris).",glass,,"                Under Symeon, prefect of Rome.            ",                            
bshe0161,"Scythopolis-Beth Shean, Before 427 CE. Mosaic. Verse.",verse,Scythopolis-Beth Shean,Greek,400,427,mosaic,Jordan Valley,christian,Scythopolis-Beth Shean,"Scythopolis-Beth Shean, Jordan Valley. monastery.<br/>Jordan Valley. Beth Shean. In the yard of the monastery near Kibbutz                        Mesilot. ",,,            The Lord will watch over your coming and going both now and forevermore.         ,"            In 1961, the author found this mosaic inscription in the yard of a monastery near               Kibbutz Mesilot in Beth She'an. The inscription is four lines long, of which only a               portion of the left side remains intact. The height of the letters on the first and               fourth lines is 9.5 cm, while the height of the two middle lines is 11.5 cm. Each row               is highlighted by a line of red tiles. The two middle lines are written with               ligatures. In the original, the scribe uses lunate sigmas as well as large lowercase               omegas in place of uppercase omegas. An overline over the first two letters on the               first line indicates an abbreviation. The inscription is a quotation from Psalms               121:8. There used to be a cross under the letters ΑΩ, but the whole figure was               removed shortly after there was a ban on setting crosses in floors in 427 CE.         "
caes0016,"Caesarea, 276 CE - 282 CE. Column. Honorific.",honorific,Caesarea,Latin,276,282,column,Coastal Plain,other_religion,Caesarea,"Caesarea, Coastal Plain. <br/>On the eastern side of the Promontory Palace. ",marble,"            Omnium gentium               		  vere victoriosissimo               ac felicissimo                indulgentissimo                              Caesari               nostro               Marco               Aurelio Probo                               invicto               Augusto               imperatori               ,               Acilius Cleobulus               vir               clarissimus                              praeses               provinciae               Syriae                Palaestinae,               devotus               numini               maiestatique               eius. 		           ","            To our Caesar                                  Marcus                   Aurelius                   Probus                ...unconquered Augustus,			 Emperor..., truly most victorious over all peoples,			 and most happy and forbearing. 			                   Acilius                   Cleobulus                , of			 clarissimate  rank, governor 			 of the province Syria Palaestina, devoted to his might			 and majesty.         ",            Same column as caes0015 and caes0017.         
caes0013,"Caesarea, 276 CE - 282 CE. Column. Honorific.",honorific,Caesarea,Latin,276,282,column,Coastal Plain,other_religion,Caesarea,"Caesarea, Coastal Plain. <br/>Found on the eastern side of the Promontory Palace, within the building's                        destruction debris on a hypocaust floor tentatively dated to the fourth                        century. ",marble,"                                             		  Probo Augusto                                                            super omnes retro               principes               fortissimo,                                             Passenianus               vir               clarissimus               praeses               provinciae               Syriae                              Palaestinae, devotus               numini               maiestatique               eius.                     ","            To...                   Probus                   Augustus                … most powerful beyond all previous princes...Passenianus, of clarissimate  rank, governor  of the province                  Syria Palaestina, devoted to his might and majesty.         ",            The inscription begins 0.15 m from end of the column. Same column as caes0012 and               caes0014.         
caes0015,"Caesarea, 157-158 CE. Column. Dedicatory.",dedicatory,Caesarea,Latin,157,158,column,Coastal Plain,other_religion,Caesarea,"Caesarea, Coastal Plain. <br/>On the eastern side of the Promontory Palace. ",marble,"            Decimo Seio Decimi               filio               Quirina Senecae               legato               Augusti pro praetore               provinciae               		  Syriae Palaestinae,		  mandatu               Sexti               Cornelii Quirina		  Taurini duumviralis,               Cornelius Quintianus               		  filius . 		           ","            To 			                   Decimus                   Seius                   Seneca                ,			 son  of Decimus, of the tribe 			 Quirina, propraetorian legate 			 of Augustus for the province Syria Palaestina. By order			 of 			                   Sextus                   Cornelius                   Taurinus                ,			 of the tribe 			 Quirina, former duumvir. His			 son                                  Cornelius                   Quintianus                ...         ",            Same column as caes0016 and caes0017.         
caes0023,"Caesarea, First - third century CE. Column. Text Unknown.",text_unknown,Caesarea,Latin,1,300,column,Coastal Plain,other_religion,Caesarea,"Caesarea, Coastal Plain. <br/>Near caes0020 and caes0022, about 250 m south-southeast of the                        Old City and Bosnian village. ",marble,,,                     
caes0064,"Caesarea, Date unknown. Fragment. Dedicatory.",dedicatory,Caesarea,Greek,,,fragment,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. <br/>Caesarea. ",marble,,,"            White marble fragment, broken on all sides. Inscription mentions arches and ""the               entire tessellated pavement.""         "
caes0056,"Caesarea, Late fourth to mid-seventh century CE. Block. Dedicatory.",dedicatory,Caesarea,Greek,350,650,block,Coastal Plain,other_religion,Caesarea,"Caesarea, Coastal Plain. <br/>Western end of the diversion, at the angle formed by the semicircular aqueduct siding with the original one. Near caes0055. ",,,,
caes0071,"Caesarea. Fourth to mid-seventh centuries, CE. Engraved architectural member.",text_unknown,Caesarea,Greek,300,650,block,Coastal Plain,christian,Caesarea,"Caesarea, Coastal Plain. <br/>. ",,,,"            Left side of an architectural member of gray and white marble. All sides but the broken right end are smooth. Left side of the face has a slightly damaged recess, and the back has several notches.         "
caes0069,"Caesarea. Late Antique period. Engraved fragment, possibly a chancel screen.",text_unknown,Caesarea,Greek,1,700,fragment,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. ",,,,"            Fragment of architectural member, top of a chancel screen?, or coarse-grained gray marble. Back is rough, front smooth. Broken on sides and bottom. Inscribed with one line and a groove below.         "
caes0072,"Caesarea, Date unknown. Capital. Text unknown.",text_unknown,Caesarea,Greek,,,capital,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. <br/>Said to have been found near caes0060 and caes0061, near Greek Orthodox                        Community of the Holy Sepulcher, south of the modern road approaching                        Caesarea from the east and just to the northeast of the hippodrome. ",,,,                     
caes0082,"Caesarea. Fifth or sixth century, CE. Tessellated pavement from synagogue.",verse,Caesarea,Greek,400,600,pavement,Coastal Plain,jewish,Caesarea,"Caesarea, Coastal Plain. <br/>In				  synagogue about 10 m east of caes0078, with top to the east. ",,,,"            One corner of tessellated pavement with a 1.00 m diameter medallion carrying an inscription. Tesserae are red, white, black, and yellow.         "
caes0076,"Caesarea, Second or third century CE. Block. Text unknown.",text_unknown,Caesarea,Greek,100,300,block,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. <br/>Caesarea. ",marble,,,                     
caes0077,Caesarea. Date unknown. Engraved architectural member.,text_unknown,Caesarea,Greek,,,block,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. A3.<br/>North of Byzantine Esplanade. ",,,,            Part of bottom of an architectural member.         
caes0110,"Caesarea, Unknown date. Engraved fragment. Unknown.",text_unknown,Caesarea,Greek,,,fragment,Coastal Plain,other_religion,Caesarea,"Caesarea, Coastal Plain. <br/>Discovered by JECM in C/22, south of the Old City. ",,,,"            Fragment with parts of four lines preserved. There is an upper margin above line 1, a very large space between lines 3 and 4, and a lower margine below line 4. Letters are irregular, with slanted alpha, sometimes extended, and cursive mu. Subscript and superscript bars and a suspended omicron mark abbreviations. There is a bar below chi-rho and above the last nu in line 4, and a small omicron above the penultimate nu in line 4.         "
caes0115,Caesarea. Unknown date. Bowl. Text Unknown.,text_unknown,Caesarea,Greek,,,bowl,Coastal Plain,other_religion,Caesarea,"Caesarea, Coastal Plain. ",stone,,,"            Fragment of a stone bowl with integral square base with an inscription on one face of the base. Dimensions given are for base on the inscribed face. Only a portion 25 mm high of the rim survives. Letters are poorly cut and irregular, and Alpha has a broken bar.         "
caes0116,Caesarea. Unknown date. Bowl. Text Unknown.,text_unknown,Caesarea,Greek,,,bowl,Coastal Plain,other_religion,Caesarea,"Caesarea, Coastal Plain. ",stone,,,            Fragment of a hollowed out object of white marble.         
caes0120,"Caesarea. First to third century, CE. Fragment of an altar.",text_unknown,Caesarea,Latin,1,300,altar,Coastal Plain,other_religion,Caesarea,"Caesarea, Coastal Plain. <br/>Unknown. ",,,,"            Fragment of white marble broken on all sides and back. Dimensions given are for entire fragment, inscription area is 0.40 m high by 0.15 m wide. Below the inscription, the roughly finished face of the stone turns outwards, but the projection is broken off. The letters have serifs and the As have no crossbars. There is a space in front of the surviving part of line 5. Possibly an epitaph.         "
caes0121,"Caesarea, First to third century CE. Altar. Text Unknown.",text_unknown,Caesarea,Latin,1,300,altar,Coastal Plain,other_religion,Caesarea,"Caesarea, Coastal Plain. Byzantine Esplanade.<br/>Ca. 100 m southeast of the Byzantine Esplanade. ",marble,,,                     
caes0162,"Caesarea. 1st-2nd century, CE. Fragment of white marble.",funerary.epitaph,Caesarea,Latin,1,200,fragment,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. <br/>Unknown. ",marble,,            ...to...wife...         ,            Fragment of white marble broken on all sides.         
caes0171,"Caesarea. Late Antiquity? (Fourth to eighth century, CE). White marble plaque.",funerary,Caesarea,Greek,300,700,plaque,Coastal Plain,jewish,Caesarea,"Caesarea, Coastal Plain. <br/>Sdot Yam. ",marble,,,"            Part of the bottom of a blue-veined white marble plaque. The front is smooth, the back polished. Letters are shallow and irregular, with serifs, cut with a point to guidelines 32 mm apart, spaced 2-3 mm apart. Below the inscription are the lulav, the menorah, and the shofar.         "
caes0177,"Caesarea, Date unknown. Plaque. Funerary.",funerary,Caesarea,Greek,,,plaque,Coastal Plain,jewish,Caesarea,"Caesarea, Coastal Plain. <br/>East of the city in the area Lifshitz identified as the Jewish necropolis. ",marble,,,                     
caes0183,Caesarea. Date unknown. Plaque. Funerary (Epitaph).,funerary.epitaph,Caesarea,Greek,,,plaque,Coastal Plain,jewish,Caesarea,"Caesarea, Coastal Plain. <br/>unknown. ",marble,                           τέκνα               χίας                שלום על ישראל                        ,            ...children  of....Peace unto Israel!         ,"            Fragment of a marble plaque less than four inches long, broken on all sides. Some mortar remains on the back. A hatched border separates the ends of the last two lines of an epitaph in Greek from an acclamation in Hebrew. To the right of the Greek text is a broad margin.         "
caes0182,Caesarea. Date unknown. Revetment. Funerary (Epitaph).,funerary.epitaph,Caesarea,Greek,,,revetment,Coastal Plain,jewish,Caesarea,"Caesarea, Coastal Plain. ",marble,,"            Amma-- father  N--, shalom!         ","            Piece of marble revetment with an Ionic molding. One end is mitered for an exterior return. The molded face is polished, as are the forward edges of the top and the sides. The bottom is rough, the back smooth but unpolished. There is a small hole 7 mm in diameter and 22 mm deep cut vertically into the top. The stone was reused for an epitaph in Greek and Hebrew inscribed on the back. The lines must have continued on another plaque placed to the right.         "
caes0186,Caesarea. Date unknown. Fragment of a plaque of bluish marble.,funerary.epitaph,Caesarea,Greek,,,plaque,Coastal Plain,jewish,Caesarea,"Caesarea, Coastal Plain. <br/>unknown. ",marble,,,            Fragment of a plaque of bluish marble.         
caes0201,"Caesarea. Fourth to mid seventh century, CE. Left side of a white marble plaque.",funerary,Caesarea,Greek,300,650,plaque,Coastal Plain,christian,Caesarea,"Caesarea, Coastal Plain. ",marble,,,"            Left side of a white marble plaque. The left side of an epitaph in three lines survives, with a cross at the beginning of line 1.         "
caes0215,"Caesarea. Fourth to mid seventh century, CE. Left side of a blue marble plaque.",funerary,Caesarea,Greek,300,650,plaque,Coastal Plain,christian,Caesarea,"Caesarea, Coastal Plain. ",marble,,            The tomb of  ---gin--- and...with their children.				         ,"            Left side of a blue marble plaque. Only the face is smooth. The beginnings of all four lines of an epitaph survive, with a cross at the beginning of line 1. Letters are irregular.         "
caes0214,"Caesarea. Fourth to mid seventh century, CE. Right side of a white marble plaque.",funerary,Caesarea,Greek,300,650,plaque,Coastal Plain,christian,Caesarea,"Caesarea, Coastal Plain. ",marble,,,"            Right side of a white marble plaque with a gray patina. Both faces are smooth. There are traces of plaster on the back. The beginning of each line of an epitaph survives, with a cross at the beginning of line 1. Letters are nicely cut, with serifs, and slightly irregular, especially in line 3, which was added by a different hand after lines 1-2.         "
caes0217,"Caesarea, Fourth to mid seventh century CE. Plaque. Funerary.",funerary,Caesarea,Greek,300,650,plaque,Coastal Plain,christian,Caesarea,"Caesarea, Coastal Plain. ",marble,,,                     
caes0226,"Caesarea. Fourth to mid seventh century, CE. Slightly irregular light gray marble plaque.",funerary,Caesarea,Greek,300,650,plaque,Coastal Plain,christian,Caesarea,"Caesarea, Coastal Plain. ",marble,,,"            Slightly irregular light gray marble plaque. Both faces are smooth, the inscribed face having been finished with a rasp. The back has traces of plaster. Edges are rough and irregular. In the upper left corner are carved a cross and the first letter of an epitaph beginning with θήκη. A second letter is slightly scratched. The rest of an epitaph was left uncarved.         "
caes0223,"Caesarea. Fourth to mid seventh century, CE. Upper left corner of an irregular gray marble plaque.",funerary,Caesarea,Greek,300,650,plaque,Coastal Plain,christian,Caesarea,"Caesarea, Coastal Plain. ",marble,,,"            Upper left corner of an irregular gray marble plaque. The beginnings of the first two lines of an epitaph survive, with a cross before line 1. Letter are irregular but well-cut. The ligature and cross both indicate a date in the Late Antique period.         "
caes0218,"Caesarea. Fourth to mid seventh century, CE. Part of the top of a gray marble plaque.",funerary,Caesarea,Greek,300,650,plaque,Coastal Plain,christian,Caesarea,"Caesarea, Coastal Plain. <br/>Found on the surface within the Old City. ",marble,,,"            Part of the top of a gray marble plaque. The beginning of the first line of an epitaph survives, with a cross in front of it, and part of a second line.         "
caes0235,"Caesarea. Fourth to mid seventh century, CE. Upper right corner of a gray marble plaque.",funerary,Caesarea,Greek,300,650,plaque,Coastal Plain,christian,Caesarea,"Caesarea, Coastal Plain. ",marble,,,"            Upper right corner of a blue-banded gray marble plaque. The face is smooth, the back less so. The ends of the first three lines of an epitaph survive, with a cross, which has been partially erased, at the end of line 1. Letters are shallow and irregular. A cursive horizontal line follows line 2, but may be damage rather than a word-divider.         "
caes0239,"Caesarea. Fourth to mid seventh century, CE. Upper right corner of a light gray marble plaque.",funerary,Caesarea,Greek,300,650,plaque,Coastal Plain,christian,Caesarea,"Caesarea, Coastal Plain. <br/>Found in the fields in and around Caesarea. ",marble,,,            Upper right corner of a light gray marble plaque. A cross survives in the corner with the ends of the first two lines of an epitaph. Letters are irregular and poorly cut.         
caes0243,"Caesarea. Fourth to mid seventh century, CE. Fragment. Unknown Text.",text_unknown,Caesarea,Greek,300,650,fragment,Coastal Plain,christian,Caesarea,"Caesarea, Coastal Plain. ",marble,,,"            Fragment of a gray marble architectural fragment, broken on all sides. One side is molded, the other worked smooth. The beginning of a line of text preceded by a cross survives on the smooth side; presumably the piece of molding was reused as a tombstone.         "
caes0238,"Caesarea. Fourth to mid seventh century, CE. Upper left corner of a white marble plaque.",funerary,Caesarea,Greek,300,650,plaque,Coastal Plain,christian,Caesarea,"Caesarea, Coastal Plain. ",marble,,,"            Upper left corner of a white marble plaque. The top is damaged. Both sides are smooth. The beginning of one line (not the first) of an epitaph survives, with vestiges of another line below. Before the line stands a cross. Letters are irregular.         "
caes0236,"Caesarea, Fourth to mid seventh century CE. Plaque. Funerary.",funerary,Caesarea,Greek,300,650,plaque,Coastal Plain,christian,Caesarea,"Caesarea, Coastal Plain. ",marble,,,                     
caes0251,Caesarea. Date unknown. Fragment of a plaque.,funerary,Caesarea,Greek,,,plaque,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. <br/>West of the hippodrome. ",,,,"            Fragment of a plaque, broken on all sides. It preserves the upper left corner of an epitaph. Letters are cursive. Schwabe considered this a Jewish epitaph because of the term μεμόριον, which he mistakenly thought Christians did not use. Lehmann and Holum critique this restoration, noting that it yields long lines and is inconsistent with the very small space before and traces of the letter following the kappa in line two.         "
caes0253,Caesarea. Date unknown. Fragment of a gray marble plaque.,funerary,Caesarea,Greek,,,plaque,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. ",marble,,,"            Fragment of a gray marble plaque, broken on all sides. Both faces are smooth. Parts of two lines of an epitaph survive, with guidelines spaced 35 mm apart. Marks of multiple passes of an inscriber with fixed points appear to the right. Letters are poorly cut.         "
caes0248,Caesarea. Date unknown. Part of the top of a white marble plaque.,funerary,Caesarea,Greek,,,plaque,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. ",marble,,"            The memorial of..., daughter....				         ",            Part of the top of a white marble plaque. Parts of the first three lines of an epitaph survive. The letters are irregular.         
caes0254,Caesarea. Date unknown. Part of the top of a light gray marble plaque.,funerary,Caesarea,Greek,,,plaque,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. ",marble,,,"            Part of the top of a light gray course-grained marble plaque. Parts of two lines of an inscription survive in deeply cut, irregular letters within guidelines 40 mm apart at 5 mm intervals. Not all letters touch both guidelines. The top survives even though its forward edge is damaged; there could have been no line above our line 1. The fact that a bottom guideline nevertheless appears above line 1 indicates that the stonecutter used a two-bladed instrument to inscribe his guidelines.         "
caes0258,Caesarea. Date unknown. Upper left corner of a gray marble plaque.,funerary,Caesarea,Greek,,,plaque,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. ",marble,,,"            Upper left corner of a gray marble plaque. The front only is smooth. The upper left corner of a crudely inscribed tabula ansata and the beginnings of the first two lines of an epitaph survive, shallowly cut with a point. Letters are irregular but clearly cut, with serifs.         "
caes0257,Caesarea. Date unknown. Upper left corner of a plaque.,funerary,Caesarea,Greek,,,plaque,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. <br/>Kabara swamp at Khirbet Burj east of the railway station. ",,,,            Upper left corner of a plaque. No further description is available. The beginnings of the first two lines of an epitaph survive. Letters are irregular.         
caes0263,Caesarea. Date unknown. Upper left part of an irregular plaque of light gray marble. Epitaph.,funerary.epitaph,Caesarea,Greek,,,plaque,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. <br/>Unknown. ",marble,,            The tomb of                   Sarah                ....         ,"            Upper left part of an irregular plaque of light gray marble. Only the front is smooth. Letters are irregular, cut with a point to an unusually wide and shallow depth.         "
caes0269,Caesarea. Date unknown. Upper right corner of a plaque of marble. Epitaph.,funerary.epitaph,Caesarea,Greek,,,plaque,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. <br/>Unknown. ",marble,,,            Upper right corner of a plaque of marble. Letters are somewhat irregular and poorly cut within guidelines (only one for each line of text). Line 1 seems to have been centered.         
caes0270,Caesarea. Date unknown. Fragment of a plaque of light gray marble. Epitaph.,funerary.epitaph,Caesarea,Greek,,,plaque,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. <br/>On the surface inside the Old City during Negev's excavations. ",marble,,,            Fragment of a plaque of light gray marble. All sides are broken.         
caes0276,Caesarea. Date unknown. Part of a gray marble plaque. Epitaph.,funerary.epitaph,Caesarea,Greek,,,plaque,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. ",marble,,,            Part of a gray marble plaque with a very dark orange patina. Both faces are smooth. Margin is evident on the right. Letters are well cut but irregular and are within guidelines spaced 7 mm apart.         
caes0272,"Caesarea. Date unknown. Part of the top of a plaque of gray, course-grained marble. Epitaph.",funerary.epitaph,Caesarea,Greek,,,plaque,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. <br/>Unknown. ",marble,,,"            Part of the top of a plaque of gray, course-grained marble. Both faces are smooth. Letters are well-cut and irregular with serifs.         "
caes0280,Caesarea. Date unknown. Upper right corner of a large gray marble plaque. Epitaph.,funerary.epitaph,Caesarea,Greek,,,plaque,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. <br/>Unknown. ",marble,,,            Upper right corner of a large gray marble plaque. The sides of the plaque were not finished evenly. Letters are very crude and cut with a point.         
caes0274,Caesarea. Date unknown. Upper left corner of a plaque of gray marble with blue bands. Epitaph.,funerary.epitaph,Caesarea,Greek,,,plaque,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. <br/>Unknown. ",marble,,,"            Upper left corner of a plaque of gray marble with blue bands. Only the front is smooth. Shallow, somewhat irregular letters.         "
caes0275,Caesarea. Date unknown. Part of the top of a plaque. Epitaph.,funerary.epitaph,Caesarea,Greek,,,plaque,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. <br/>CCE found the plaque in Area Z/2, at the southwestern corner of the Temple Platform. ",,,,            Part of the top of a plaque.         
caes0287,Caesarea. Date unknown. Fragment of a white marble plaque. Epitaph.,funerary.epitaph,Caesarea,Greek,,,plaque,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. <br/>Unknown. ",marble,,            The tomb of                   Symon                 and                   Seviros                 ...         ,            Fragment of a white marble plaque with an epitaph preserved only on the upper right side.         
caes0290,"Caesarea, Fourth to mid-seventh century CE. Plaque. Epitaph.",funerary.epitaph,Caesarea,Greek,300,650,plaque,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. <br/>Hippodrome. ",marble,,            (The tomb of)                   Euelpios                               father  of ....         ,"            Small irregular plaque of bluish gray marble. The sides and front are smooth, the back very rough. The inscription follows the irregular sides. Letters are small and irregular. An S-shaped sign appears at the end of line 2.         "
caes0297,Caesarea. Date unknown. Left side of a grayish white marble plaque. Epitaph.,funerary.epitaph,Caesarea,Greek,,,plaque,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. <br/>Found on the surface in the Old City during Negev's excavations. ",marble,,,"            Left side of a grayish white marble plaque with the extreme upper left corner lost. The surface is pitted, especially on the right side. A broad margin and the beginnings of lines of an epitaph survive on the right side, written in irregular letters. In the margin to the left of the epitaph is a very crudely and shallowly cut word in two lines, presumably added after the installation of the gravestone, reproduced as lines 5 and 6 in our transcription.         "
caes0294,Caesarea. Date unknown. Upper right corner of a red marble block. Epitaph.,funerary.epitaph,Caesarea,Greek,,,block,Coastal Plain,unknown_religion,Caesarea,"Caesarea, Coastal Plain. <br/>Unknown. ",marble,,,"            Upper right corner of a red marble block. Poorly cut, irregular letters with traces of red paint.         "
